number,value,datetime_start,datetime_complete,duration,params_a_0,params_a_1,params_a_2,params_a_3,params_a_4,params_a_5,params_a_6,params_u_dc_0,params_u_dc_1,params_u_dc_2,params_u_dc_3,params_u_dc_4,params_u_dc_5,params_u_dc_6,state
594,0.7331113225499524,2025-12-01 23:32:20.589167,2025-12-02 00:24:05.313327,0 days 00:51:44.724160,1.3435193762053694,0.20103390402617605,1.7874451746102105,-0.24889826096384315,0.1488192204907801,0.17681311313772807,0.6865859246879668,0.025662438334982246,0.5987700864518445,0.9772822499352389,0.3733361504070246,0.07996763223552246,0.40346885548130246,0.07735443204015703,COMPLETE
595,0.7350142721217888,2025-12-02 00:24:05.620263,2025-12-02 01:15:48.640105,0 days 00:51:43.019842,1.1997009054513776,0.8858178004025685,-0.6277289490497437,-0.03149789395764002,-0.054214532346354066,0.14851586514277448,-0.3779221690091269,0.010466015667529749,0.560917861912349,0.9636121743289778,0.345332072592899,0.11489433345241286,0.42403238959879186,0.052572927518085004,COMPLETE
596,0.7321598477640342,2025-12-02 01:15:48.892193,2025-12-02 02:07:10.771493,0 days 00:51:21.879300,1.3035573300933654,0.4379112645136111,0.6918478835325023,-0.10868582451699225,0.06111589862027078,0.1990952919842581,-0.21399041080022435,0.029051606641013073,0.6352893866115193,0.9964771622885291,0.2718489183555398,0.09596560141128647,0.45950474426084353,0.07425833542014512,COMPLETE
597,0.735965746907707,2025-12-02 02:07:11.077274,2025-12-02 02:58:42.457257,0 days 00:51:31.379983,-0.3171855091898146,0.04207968466971673,1.8748925262028722,0.030425955399372304,0.14990747622022016,0.07297014169601654,0.7663008788947845,0.025351828548324448,0.5770325992875917,0.9499656012985843,0.38358312101773673,0.13527673839473556,0.4519916489891662,0.0872998802064418,COMPLETE
598,0.7373929590865842,2025-12-02 02:58:42.685093,2025-12-02 03:50:22.102710,0 days 00:51:39.417617,1.136088406937035,0.25662118212784624,1.9761548049467346,0.041561338762080915,-0.14673890479693,0.12402192589726241,-0.3400854723090989,0.04019445975375943,0.5444394551858757,0.965465861285435,0.36800987932868523,0.11261667888594719,0.5368332640703727,0.03174075522484132,COMPLETE
599,0.5694576593720266,2025-12-02 03:50:22.386344,2025-12-02 04:42:12.382119,0 days 00:51:49.995775,1.4523786270014492,1.0037212618432472,-0.4201023862412755,0.10112780307572689,0.20047117063773068,0.23964675774117744,1.220448953593087,0.8941572824542154,0.4835542515766449,0.9386992050509343,0.3836859525090624,0.14600030993745017,0.4390289167311471,0.10411509297844486,COMPLETE
600,0.7369172216936252,2025-12-02 08:10:39.982968,2025-12-02 09:02:30.455101,0 days 00:51:50.472133,1.1510704659393385,0.3006171570368441,-0.3194286347192166,-0.02187578292984904,0.30889011456747123,0.16989117201447226,0.8957680978491982,0.012009096776896183,0.6009054211208916,0.7462043268171983,0.3448137976963953,0.07114000566750378,0.5964645049054702,0.06560438932574154,COMPLETE
601,0.7397716460513797,2025-12-02 09:02:30.741519,2025-12-02 09:54:09.751375,0 days 00:51:39.009856,1.2746743260696727,-0.0042706891020241056,1.8743372115277317,0.06993527490866651,0.07928386150079351,0.08454694686706715,-0.04898461532931398,0.04650249098549529,0.5158652124880678,0.9824990984353635,0.4011847502461645,0.1276097903509078,0.5687917447131756,0.08923766907418754,COMPLETE
602,0.7045670789724072,2025-12-02 09:54:10.056504,2025-12-02 10:45:48.051972,0 days 00:51:37.995468,1.211770154607804,0.13614471402794265,1.8819855170810342,-0.15853541009165997,0.18200254096809196,0.288746493128336,0.9451939454560664,0.02670071003758551,0.5572414120010847,0.954100812239038,0.4133557256699669,0.09014913007195853,0.6563253743922373,0.049653373593173816,COMPLETE
603,0.7245480494766888,2025-12-02 10:45:48.393118,2025-12-02 11:37:38.403049,0 days 00:51:50.009931,1.0903594348989158,-0.18757974792716942,-0.527393085340768,-0.06072356263867798,-0.029889575087674376,0.19888030190900308,-0.5468519702696356,0.010008873390005123,0.5837060357999564,0.9335995338906521,0.3564699592571794,0.11186322880847407,0.5138473081594755,0.10122522617066733,COMPLETE
