n_features,lambda,accuracy,f1,precision,recall,train_accuracy
3064,28.87091087748847,0.6698382492863939,0.66540179193814,0.6818580680008762,0.6670572429340662,0.9527830637488106
2789,91.67713861626211,0.7017126546146527,0.6965861183207807,0.7114819957969614,0.6994298831657202,0.9461227402473834
2422,78515.13353580415,0.70313986679353,0.700977681344911,0.7500274101986217,0.6994649045519601,0.722407231208373
3200,1971.6765808697749,0.7830637488106565,0.779777243800782,0.7978089621727286,0.7805316113947491,0.9155566127497621
3241,1269.0175533569027,0.7725975261655567,0.7697253986125232,0.7881565036078747,0.77062887877172,0.9250713606089439
2991,3306.9553127195018,0.7830637488106565,0.7800487252163456,0.7999877605326048,0.7799282677198291,0.89581351094196
2988,319.66051877825936,0.725023786869648,0.7213185612833982,0.739211964717142,0.723082529548397,0.9413653663177926
3477,35341.02365287527,0.7421503330161751,0.740041581885605,0.7743214750463275,0.7375992115805692,0.7918648905803997
3186,2779.4115508171617,0.7854424357754519,0.7822489037635164,0.8024841816402996,0.7820944740901018,0.9043767840152236
3172,847.222603690411,0.7616555661274976,0.7585825914899436,0.7760888323166727,0.7596264985575221,0.9319695528068506
3433,2485.1090224485806,0.7821122740247384,0.7786101157433241,0.7977378943836455,0.779237007214691,0.9103235014272122
2916,264.41678595051394,0.725023786869648,0.7209794131621801,0.7383027003339808,0.72296002294037,0.9424357754519506
2619,16.923534957773647,0.69267364414843,0.6874364012160383,0.701044834322023,0.690078741006203,0.9405328258801142
2165,4278.759497961027,0.7811607992388202,0.7782753327471322,0.801110309237233,0.7772811847510146,0.873453853472883
3048,7326.1540377344645,0.7849666983824929,0.7803832205045629,0.8050755286369664,0.7802966565787376,0.8676260704091342
3528,20868.487038871088,0.7602283539486203,0.757001982607098,0.7863008676700768,0.7558282703495667,0.8249286393910561
3000,7834.491037563727,0.7830637488106565,0.779087318224051,0.804194153299133,0.7785010428004493,0.8626308277830638
3935,1613.1474940748194,0.7706945765937203,0.7685898980816069,0.7869838725139939,0.7691599303520745,0.9287583254043768
3183,586.9718491492167,0.7511893434823977,0.7484490740425624,0.7655510179130789,0.7490980604408816,0.9383920076117983
3303,3363.060543686,0.7825880114176974,0.7788134710304392,0.8007458105677774,0.7790842013772445,0.8996194100856327
2773,30707.78020093042,0.7459562321598477,0.7431806350160153,0.7768128173381914,0.7414992282977823,0.7923406279733587
3711,179.06741394458396,0.6941008563273073,0.6903365032820473,0.7100395294142873,0.6928523081832894,0.959919124643197
2590,0.29322749893260036,0.6855375832540438,0.6806568346163434,0.6949021200504847,0.6831854149885901,0.941127497621313
3091,5658.478718397999,0.7840152235965747,0.7799131000562489,0.8040745272866342,0.779483163915127,0.8785680304471931
3131,5978.88848327167,0.7859181731684111,0.7819445764259109,0.8061529059111701,0.7811606296230328,0.8766650808753568
3118,14232.588882009326,0.7706945765937203,0.7665729462061605,0.7934786145234715,0.7660108876330481,0.8399143672692674
3320,6824.417634464734,0.7863939105613701,0.782084828053595,0.807868003158017,0.7815145239464654,0.8748810656517603
3362,6402.029649291547,0.7878211227402474,0.7837387789442527,0.8075914570406478,0.7833433793706215,0.8789248334919124
3371,185128.23170751333,0.6389153187440533,0.6360214491533379,0.705526885791475,0.6365453909304633,0.6567554709800191
3555,51560.76315867576,0.7269267364414843,0.7250170822413433,0.7641995721099698,0.7226857206466507,0.76558039961941
4007,8344.20967990755,0.7806850618458611,0.7767113797016052,0.8020322922792374,0.7764813976108176,0.8729781160799239
3786,87604.82487821548,0.7007611798287345,0.6983387243282657,0.7448410994888855,0.6970713089368106,0.7279971455756422
2679,14460.072460062238,0.7697431018078021,0.7668012434139396,0.7941586104972592,0.7651706292296571,0.8334919124643198
2884,5855.283505160852,0.7830637488106565,0.7795162879191453,0.8023957285072445,0.7789542766360277,0.8739295908658421
2363,768.1101792500141,0.7649857278782112,0.7629689703712483,0.7801686224753025,0.7630567005711897,0.9182921027592769
4240,28394.421261285162,0.7507136060894386,0.7488821611167867,0.7803321264603684,0.7467092131602824,0.8106565176022835
3051,4891.131025679501,0.7825880114176974,0.7788657743099815,0.8015830927963847,0.7784280027376629,0.8838011417697431
2823,1933.6568030059416,0.7825880114176974,0.7798407355544962,0.7975982559407998,0.7804966846336592,0.9096098953377736
3356,7821.768709941424,0.7844909609895337,0.7799738209269343,0.806020349688661,0.7796210481919471,0.8698858230256898
3327,1165.1229529155444,0.7711703139866793,0.7688824445387245,0.7874051400762251,0.7693945146372221,0.9278068506184586
3497,15538.823528375153,0.769267364414843,0.765712765134782,0.792102660985586,0.7651069728963819,0.8394386298763082
3614,9178.903254681425,0.7811607992388202,0.7771666803099423,0.8024975933112299,0.7766190917789776,0.8646527117031398
3786,2934.9042029921015,0.7783063748810657,0.7747584246909436,0.7972005412241425,0.7752616205624873,0.9085394862036156
3088,6059.71722306707,0.7844909609895337,0.7804357447250477,0.8045462776185041,0.7799093603725009,0.8760704091341579
3290,20917.115299183697,0.7597526165556613,0.7570333381228668,0.7868723182680231,0.7551498405867316,0.8211227402473834
3432,1666.7204234055994,0.7806850618458611,0.7777955320099935,0.7952679309601123,0.7785414276930205,0.922930542340628
2941,6528.231385306801,0.7849666983824929,0.7812760645206731,0.8047069389888852,0.7807005646193491,0.8717887725975262
2549,344104.2454282666,0.5685061845861085,0.5600475761838213,0.6662854110891306,0.5675831669825235,0.5794481446241675
2704,51670.960020962506,0.7231208372978116,0.7207423735439821,0.7631211109104342,0.7188210374677565,0.7570171265461465
3235,7475.901424308219,0.7859181731684111,0.7814393581671857,0.8062826730890797,0.7809066263619641,0.8695290199809705
3191,10687.914290892571,0.7825880114176974,0.7784776929689461,0.8033595886664088,0.777964397010149,0.8537107516650809
3383,6727.950334665804,0.7882968601332064,0.7838646369788907,0.8087823971923234,0.7835088682047783,0.8764272121788773
3408,28365.57395575167,0.7511893434823977,0.7487716701379825,0.7812885644445762,0.7469917678976218,0.8060180780209324
3253,6758.643720283863,0.7854424357754519,0.7811418939230574,0.8055333135811379,0.7806482677538997,0.8732159847764034
3236,15029.4290808411,0.7702188392007612,0.7667968907575003,0.7940596637620343,0.7656494590004931,0.838011417697431
2896,7345.034296543571,0.7873453853472883,0.7834915913616942,0.8079531316676458,0.7827478775490231,0.8664367269267365
2927,4316.7155534144,0.7863939105613701,0.7831647961329773,0.8049271377502387,0.7827062693149347,0.8868934348239772
3153,3627.7402759750344,0.7859181731684111,0.7820927246348109,0.8040940415562412,0.7819311987862171,0.8948620361560419
2845,0.003535862501124506,0.6712654614652712,0.6673808634554955,0.6841459712930744,0.6684934623805043,0.9475499524262607
3170,3507.8509009446625,0.7868696479543292,0.7833857055885856,0.8051296838599399,0.7830537309901764,0.8975975261655567
3229,1144.3172927676283,0.768791627021884,0.7656761067294692,0.7836348438198787,0.7670230301315097,0.9263796384395814
3147,729.8965608580176,0.7573739295908658,0.7543632584463074,0.7727066728352943,0.7552753454622352,0.9332778306374881
3585,0.0005088749534622166,0.6222645099904852,0.6148349961091281,0.6333805772980491,0.6183752336573693,0.9646764985727878
3292,3460.5430091324583,0.7830637488106565,0.7795199980393692,0.8013833656233194,0.7795839462469311,0.8985490009514748
2950,3490.059029314013,0.7811607992388202,0.7780165733083749,0.7984592872036278,0.777773385597219,0.8940294957183634
3468,2524.801024717282,0.780209324452902,0.7766133498024489,0.7962267193091771,0.7773537306595443,0.9103235014272122
3129,1744.9350575515434,0.7835394862036156,0.7799853745884977,0.797113341369015,0.7810089977775381,0.9179352997145576
3675,512.1415652002137,0.7450047573739296,0.741045566892869,0.7589844348086001,0.7431057527612979,0.9477878211227403
4097,12734.549306805064,0.7773549000951475,0.7747589276740733,0.8003666184760382,0.7732609649455955,0.8516888677450047
2731,4104.365952078231,0.7797335870599429,0.7764881117762783,0.7987551104021748,0.7764613622288825,0.8851094196003806
3033,20790.25615627644,0.7597526165556613,0.7571246474005751,0.7868926476460533,0.7554672390717355,0.8196955280685062
2867,41859.993272001164,0.7340627973358707,0.7317574506086528,0.7694021760591221,0.7294529449298192,0.7735490009514748
3911,9686.480016322887,0.7792578496669839,0.7752054590176017,0.8014342399240517,0.7749365656496245,0.8641769743101808
3094,5194.121194728494,0.7844909609895337,0.780580376688762,0.8043232345057305,0.7800573707469064,0.8821360608943863
86,9353.955294169065,0.6203615604186489,0.6096849963921958,0.6572773216579255,0.6187103649015997,0.6228591817316841
3368,1282.8697406028007,0.7740247383444339,0.7713916513257822,0.789083133079307,0.7722272616826003,0.92709324452902
3035,2320.9066953971974,0.7859181731684111,0.7827792523966679,0.8016661341641159,0.7831600257062904,0.9088962892483349
3209,2650.404378589785,0.7859181731684111,0.782965679795405,0.8024681051485307,0.7828514921284764,0.9063986679352997
3253,2498.152656298423,0.7840152235965747,0.7806039277369128,0.8003223033795843,0.78083461750286,0.909372026641294
3170,918.2217241644564,0.7621313035204567,0.7590079179327471,0.7762824611955221,0.7600607550024168,0.9306612749762131
3000,2080.7156766280877,0.7797335870599429,0.7765522173346533,0.7944740959857958,0.7774013526496706,0.9109181731684111
3493,260.21514950114266,0.7193149381541389,0.7152468897190362,0.7327984353585479,0.7180994193431537,0.9524262607040913
2886,4806.177621690227,0.7830637488106565,0.7801141914012655,0.8012904155994741,0.7795943101360167,0.8818981921979068
3329,4548.864736874913,0.7873453853472883,0.7835690607780401,0.8065463164602502,0.7831571415426001,0.8902235965746907
3363,3425.94041618394,0.7840152235965747,0.7802786897660517,0.8024145663224169,0.7805094526681736,0.8996194100856327
3224,16270.97211294691,0.7678401522359658,0.7647404094449801,0.7927927767798549,0.7633789085435637,0.8340865842055185
3057,1612.660879917672,0.7783063748810657,0.7749306673241243,0.7928058492302765,0.7759597200152787,0.9180542340627973
3333,6597.58971639818,0.7887725975261656,0.7844627955821942,0.8092493331560764,0.783926636232058,0.8760704091341579
3445,4172.716269448478,0.7830637488106565,0.7786457357906829,0.8013376192352334,0.7790859022202712,0.8941484300666033
3545,12220.772432299187,0.7778306374881065,0.773801504350824,0.7991142450260865,0.7731150343848188,0.850499524262607
