n_features,lambda,accuracy,f1,precision,recall,train_accuracy
4908,7768.768402429899,0.7274024738344433,0.726408842820369,0.7553520846354232,0.7242595673929657,0.8475261655566128
4811,15120.997377611451,0.7136060894386299,0.7146205323652679,0.7481611846737801,0.7115234201640386,0.8132730732635585
5000,3748.5450340857296,0.7283539486203615,0.7265051530959239,0.7546597758082185,0.7255672263288548,0.8795195052331113
872,2210.2561885005257,0.6503330161750713,0.6500608555339433,0.6791951486362,0.6493834125319713,0.7076593720266413
4686,4498.087181749724,0.7174119885823026,0.7169334924952907,0.7448064397846843,0.7150815708999658,0.8663177925784966
4991,8102.149735679713,0.7288296860133207,0.7282486929675589,0.7574545487840912,0.7255105641903491,0.8491912464319695
5000,4319.738304111559,0.7293054234062797,0.7278392584214728,0.7549815149385287,0.7267154300028984,0.8744053282588011
4999,3339.3806088752285,0.7240723120837298,0.7217696104706561,0.748918572628931,0.7213532692712412,0.8826117982873454
4916,4053.072256178958,0.7264509990485252,0.7244705250197894,0.7536612413493422,0.7236104250081541,0.8740485252140818
2889,1600.3404292678395,0.6726926736441484,0.6725357834634743,0.7006907093492946,0.6705666195195052,0.8468125594671742
4899,14864.593832489352,0.7231208372978116,0.7231982187627064,0.7566182983550468,0.7206122288615276,0.815651760228354
4801,5140.024652265746,0.7240723120837298,0.7225021861420023,0.7505618944309902,0.7212241065531254,0.8642959086584205
4911,8857.061522968475,0.7245480494766888,0.7238435320450904,0.7534387730650339,0.7215117369743776,0.8414605137963844
4998,2736.39716957918,0.7231208372978116,0.7206235147044572,0.7480215153654278,0.720542538389253,0.8893910561370124
4792,10692.779976398235,0.7193149381541389,0.7200084449768616,0.7512638331878053,0.7168189702752292,0.8299238820171265
4881,5957.798416874177,0.7259752616555661,0.7240183653121999,0.7510897692431733,0.7229184083165711,0.8612036156041865
4889,8240.640497123091,0.7264509990485252,0.7256361549662662,0.7548446484853683,0.7234827263461068,0.845861084681256
4994,16774.975970717882,0.7207421503330161,0.7211223817887438,0.7556291545764419,0.7182830588761195,0.811489058039962
4788,4440.615372097741,0.7226450999048525,0.7214627593887563,0.7503555867649543,0.719686523828759,0.8685775451950524
4904,9058.323085601462,0.7235965746907707,0.7229763023416504,0.7525219040547642,0.720493218455859,0.8413415794481446
1964,2565.506094990258,0.6841103710751665,0.6852911573081097,0.7158903769274657,0.6818983349629525,0.7972169362511894
5000,24895.894398009452,0.7093244529019981,0.7098947727601216,0.7467138530566193,0.7070889549603028,0.7884157944814463
4737,6080.763024267103,0.7245480494766888,0.7243374792855207,0.7535477531668399,0.7218341159118247,0.8550190294957184
4842,11329.205741633888,0.7207421503330161,0.7212709492551411,0.7529449702153901,0.7181171758955779,0.8290913415794482
4912,1.2929048063771986,0.48525214081826834,0.47465005734985777,0.48853723288227824,0.4820228510799943,0.9752616555661275
4919,6499.632494527115,0.7274024738344433,0.7259051917180244,0.7533689242544516,0.7245570784105918,0.8558515699333967
4984,3941.387280061564,0.7288296860133207,0.7268380248960276,0.7546676858479258,0.7259944133548899,0.8773786869647955
4837,3897.067759112408,0.7193149381541389,0.716571755916798,0.7444603137843638,0.7160680178468315,0.8733349191246432
4996,3071.915971029924,0.7245480494766888,0.722061966180433,0.7499729486674794,0.7218863753188487,0.884871550903901
4815,12799.60630395797,0.7188392007611798,0.719182215293596,0.7516732372471591,0.7162762707910332,0.8206470028544244
4699,5835.936997951264,0.7259752616555661,0.7257399894718919,0.7544267696870324,0.7235452715276198,0.8564462416745956
4904,1698.420509877811,0.7078972407231209,0.7046796314244986,0.7302419297717342,0.7050205896776338,0.9034253092293054
