number,value,datetime_start,datetime_complete,duration,params_a,params_lambda,params_mu,params_new_fs,params_u_dc,state
75,0.230732635585157,2025-11-18 21:24:19.144580,2025-11-18 21:31:53.209768,0 days 00:07:34.065188,2.2085838380000213,24942.388832562556,1.4964862328567576,3666,0.9555952124736056,COMPLETE
76,0.22835394862036157,2025-11-18 21:31:53.436341,2025-11-18 21:42:10.738946,0 days 00:10:17.302605,1.7013329881642987,493.50113481524903,1.627736316681012,24148,0.8552080659014976,COMPLETE
77,0.22645099904852523,2025-11-18 21:42:10.959409,2025-11-18 21:49:59.036151,0 days 00:07:48.076742,2.83277032098695,144.53910729478295,1.303508455645976,10470,0.9124505444505692,COMPLETE
78,0.23786869647954328,2025-11-18 21:49:59.400412,2025-11-18 21:58:09.420718,0 days 00:08:10.020306,1.9047028948853866,230482.38564170786,2.81585852089608,14300,0.8105770195350966,COMPLETE
79,0.22169362511893434,2025-11-18 21:58:09.723099,2025-11-18 22:06:38.394176,0 days 00:08:28.671077,2.551328901498087,7689.031122206904,2.2170812096150563,16256,0.9996673920090118,COMPLETE
80,0.15128449096098953,2025-11-18 22:06:38.687198,2025-11-18 22:16:02.873457,0 days 00:09:24.186259,-1.2678231229059724,3583.9900685228563,3.357493845404112,21204,0.8907124435145768,COMPLETE
81,0.21693625118934348,2025-11-18 22:16:03.142855,2025-11-18 22:23:30.745375,0 days 00:07:27.602520,2.35840375673642,56357.31740251396,1.7540487813434664,7703,0.9332121105701189,COMPLETE
82,0.23977164605137963,2025-11-18 22:23:30.960710,2025-11-18 22:32:42.926319,0 days 00:09:11.965609,2.083289168344145,1441.208101331558,2.487363917492044,20130,0.6129118931976453,COMPLETE
83,0.21550903901046622,2025-11-18 22:32:43.186843,2025-11-18 22:41:40.297366,0 days 00:08:57.110523,2.067120813724499,1458.0213754482722,2.4181375537316034,18809,0.6358244741387458,COMPLETE
84,0.20313986679352997,2025-11-18 22:41:40.545428,2025-11-18 22:50:43.176017,0 days 00:09:02.630589,1.630523042258758,343.68454742891663,2.566551607918174,19920,0.5831621809319996,COMPLETE
85,0.22597526165556614,2025-11-18 22:50:43.396880,2025-11-18 22:59:12.686380,0 days 00:08:29.289500,1.8579516974740933,19421.48791391087,3.516414465282948,17971,0.5123828982506934,COMPLETE
86,0.2098001902949572,2025-11-18 22:59:13.007591,2025-11-18 23:08:31.860175,0 days 00:09:18.852584,2.234021388919652,112.88325284454871,1.999677346195609,20374,0.7550317861176191,COMPLETE
87,0.22645099904852523,2025-11-18 23:08:32.141967,2025-11-18 23:17:15.473422,0 days 00:08:43.331455,2.71020009654523,42.16455200124402,2.7421388473116632,17492,0.6784385261534869,COMPLETE
88,0.19600380589914368,2025-11-18 23:17:15.769027,2025-11-18 23:25:33.199341,0 days 00:08:17.430314,2.477037399771839,0.31791991255220353,2.21428112102938,14823,0.9740782779490149,COMPLETE
89,0.20123691722169362,2025-11-18 23:25:33.415230,2025-11-18 23:34:05.857273,0 days 00:08:32.442043,2.002996580406133,3154.1490464656094,1.8825868796162513,16146,0.7228623381797448,COMPLETE
90,0.24310180780209326,2025-11-18 23:34:06.112877,2025-11-18 23:43:07.418492,0 days 00:09:01.305615,1.7521760738146281,979.8256107111345,3.892580287364959,19090,0.8522520564527395,COMPLETE
91,0.23501427212178877,2025-11-18 23:43:07.706738,2025-11-18 23:52:08.880124,0 days 00:09:01.173386,1.505649310063843,234.33279904374874,3.8420107606310245,19076,0.7857318792559055,COMPLETE
