set,combination,num_sensors,top_k,lambda_opt,accuracy
test,2-3-4,3,900,10000.0,33.75
test,2-3-5,3,10,100.0,13.25
test,2-3-5,3,100,100.0,28.999999999999996
test,2-3-5,3,1000,10000.0,32.25
test,2-3-5,3,10000,10000.0,32.75
test,2-3-5,3,1500,10000.0,33.0
test,2-3-5,3,20,100.0,19.5
test,2-3-5,3,200,1000.0,28.999999999999996
test,2-3-5,3,2000,10000.0,32.25
test,2-3-5,3,300,1000.0,31.5
test,2-3-5,3,3000,10000.0,32.0
test,2-3-5,3,400,100.0,31.75
test,2-3-5,3,4000,10000.0,32.0
test,2-3-5,3,50,100.0,28.249999999999996
test,2-3-5,3,500,1000.0,33.25
test,2-3-5,3,5000,10000.0,32.75
test,2-3-5,3,600,10000.0,34.5
test,2-3-5,3,700,10000.0,34.25
test,2-3-5,3,800,10000.0,34.25
test,2-3-5,3,900,10000.0,32.25
test,2-3-6,3,10,1e-06,13.5
test,2-3-6,3,100,100.0,30.0
test,2-3-6,3,1000,10000.0,32.0
test,2-3-6,3,10000,10000.0,31.75
test,2-3-6,3,1500,10000.0,32.75
test,2-3-6,3,20,0.1,18.75
test,2-3-6,3,200,1000.0,29.5
test,2-3-6,3,2000,10000.0,31.75
test,2-3-6,3,300,1000.0,30.75
test,2-3-6,3,3000,10000.0,31.75
test,2-3-6,3,400,1000.0,33.25
test,2-3-6,3,4000,10000.0,32.0
test,2-3-6,3,50,100.0,27.500000000000004
test,2-3-6,3,500,1000.0,32.5
test,2-3-6,3,5000,10000.0,32.0
test,2-3-6,3,600,10000.0,33.25
test,2-3-6,3,700,10000.0,33.25
test,2-3-6,3,800,10000.0,33.5
test,2-3-6,3,900,10000.0,33.0
test,2-3-7,3,10,1e-06,13.25
test,2-3-7,3,100,1000.0,30.25
test,2-3-7,3,1000,10000.0,33.5
test,2-3-7,3,10000,10000.0,33.0
test,2-3-7,3,1500,10000.0,33.5
test,2-3-7,3,20,0.01,19.25
test,2-3-7,3,200,100.0,28.749999999999996
test,2-3-7,3,2000,10000.0,33.25
test,2-3-7,3,300,100.0,30.5
test,2-3-7,3,3000,10000.0,32.0
test,2-3-7,3,400,100.0,32.0
test,2-3-7,3,4000,10000.0,32.0
test,2-3-7,3,50,100.0,27.250000000000004
test,2-3-7,3,500,1000.0,31.25
test,2-3-7,3,5000,10000.0,31.75
test,2-3-7,3,600,10000.0,32.0
test,2-3-7,3,700,10000.0,34.0
test,2-3-7,3,800,10000.0,33.25
test,2-3-7,3,900,10000.0,32.75
test,2-3,2,10,0.01,13.25
test,2-3,2,100,100.0,28.000000000000004
test,2-3,2,1000,10000.0,32.75
test,2-3,2,10000,10000.0,33.25
test,2-3,2,1500,10000.0,34.0
test,2-3,2,20,1000.0,17.5
test,2-3,2,200,1000.0,30.0
test,2-3,2,2000,10000.0,33.0
test,2-3,2,300,1000.0,30.75
test,2-3,2,3000,10000.0,33.5
test,2-3,2,400,10000.0,34.25
test,2-3,2,4000,10000.0,33.25
test,2-3,2,50,100.0,25.75
test,2-3,2,500,10000.0,33.0
test,2-3,2,5000,10000.0,33.25
test,2-3,2,600,10000.0,32.75
test,2-3,2,700,10000.0,32.5
test,2-3,2,800,10000.0,33.25
test,2-3,2,900,10000.0,32.5
test,2-4-5,3,10,100.0,13.750000000000002
test,2-4-5,3,100,1.0,27.750000000000004
test,2-4-5,3,1000,10000.0,32.0
test,2-4-5,3,10000,10000.0,33.0
test,2-4-5,3,1500,10000.0,32.75
test,2-4-5,3,20,10.0,19.5
test,2-4-5,3,200,100.0,29.5
test,2-4-5,3,2000,10000.0,32.5
test,2-4-5,3,300,1000.0,30.0
test,2-4-5,3,3000,10000.0,32.0
test,2-4-5,3,400,1000.0,33.5
test,2-4-5,3,4000,10000.0,31.75
test,2-4-5,3,50,10.0,27.0
test,2-4-5,3,500,1000.0,33.5
test,2-4-5,3,5000,10000.0,33.25
test,2-4-5,3,600,10000.0,34.0
test,2-4-5,3,700,10000.0,33.75
test,2-4-5,3,800,10000.0,33.75
test,2-4-5,3,900,10000.0,32.25
test,2-4-6,3,10,1e-06,13.5
test,2-4-6,3,100,0.001,28.249999999999996
test,2-4-6,3,1000,10000.0,31.5
test,2-4-6,3,10000,10000.0,32.75
test,2-4-6,3,1500,10000.0,33.0
test,2-4-6,3,20,10.0,18.75
test,2-4-6,3,200,1000.0,29.5
test,2-4-6,3,2000,10000.0,32.5
test,2-4-6,3,300,1000.0,30.5
test,2-4-6,3,3000,10000.0,31.75
test,2-4-6,3,400,1000.0,32.75
test,2-4-6,3,4000,10000.0,32.0
test,2-4-6,3,50,10.0,27.750000000000004
test,2-4-6,3,500,1000.0,33.0
test,2-4-6,3,5000,10000.0,32.5
test,2-4-6,3,600,10000.0,33.25
test,2-4-6,3,700,10000.0,32.75
test,2-4-6,3,800,10000.0,33.5
test,2-4-6,3,900,10000.0,32.5
test,2-4-7,3,10,1e-06,13.5
test,2-4-7,3,100,10.0,30.25
test,2-4-7,3,1000,10000.0,34.0
test,2-4-7,3,10000,10000.0,33.25
test,2-4-7,3,1500,10000.0,33.5
test,2-4-7,3,20,1.0,20.25
test,2-4-7,3,200,100.0,28.000000000000004
test,2-4-7,3,2000,10000.0,32.75
test,2-4-7,3,300,100.0,30.5
test,2-4-7,3,3000,10000.0,33.0
test,2-4-7,3,400,100.0,32.75
test,2-4-7,3,4000,10000.0,32.0
test,2-4-7,3,50,10.0,27.750000000000004
test,2-4-7,3,500,10000.0,33.25
test,2-4-7,3,5000,10000.0,32.25
test,2-4-7,3,600,10000.0,33.5
test,2-4-7,3,700,10000.0,34.25
test,2-4-7,3,800,10000.0,33.75
test,2-4-7,3,900,10000.0,33.75
test,2-4,2,10,1e-06,13.25
test,2-4,2,100,1000.0,29.75
test,2-4,2,1000,10000.0,33.75
test,2-4,2,10000,10000.0,32.75
test,2-4,2,1500,10000.0,33.5
test,2-4,2,20,100.0,17.75
test,2-4,2,200,100.0,28.499999999999996
test,2-4,2,2000,10000.0,33.0
test,2-4,2,300,10000.0,32.75
test,2-4,2,3000,10000.0,33.0
test,2-4,2,400,10000.0,33.0
test,2-4,2,4000,10000.0,33.0
test,2-4,2,50,1e-06,26.5
