set,combination,num_sensors,top_k,lambda_opt,accuracy
val,1-4-5,3,300,1000.0,72.83500000000001
val,1-4-5,3,3000,10000.0,75.357
val,1-4-5,3,400,1000.0,74.167
val,1-4-5,3,4000,10000.0,75.642
val,1-4-5,3,50,100.0,60.465999999999994
val,1-4-5,3,500,1000.0,74.358
val,1-4-5,3,5000,10000.0,76.261
val,1-4-5,3,600,1000.0,74.405
val,1-4-5,3,700,10000.0,74.833
val,1-4-5,3,800,10000.0,74.833
val,1-4-5,3,900,10000.0,74.833
val,1-4-6,3,10,1e-06,37.869
val,1-4-6,3,100,1000.0,64.653
val,1-4-6,3,1000,10000.0,74.215
val,1-4-6,3,10000,10000.0,76.594
val,1-4-6,3,1500,10000.0,74.833
val,1-4-6,3,20,10.0,49.191
val,1-4-6,3,200,10.0,71.17
val,1-4-6,3,2000,10000.0,75.547
val,1-4-6,3,300,1000.0,72.217
val,1-4-6,3,3000,10000.0,75.452
val,1-4-6,3,400,1000.0,73.406
val,1-4-6,3,4000,10000.0,75.928
val,1-4-6,3,50,100.0,60.133
val,1-4-6,3,500,10000.0,73.787
val,1-4-6,3,5000,10000.0,76.166
val,1-4-6,3,600,10000.0,74.167
val,1-4-6,3,700,10000.0,74.453
val,1-4-6,3,800,10000.0,73.977
val,1-4-6,3,900,10000.0,74.167
val,1-4-7,3,10,1.0,38.153999999999996
val,1-4-7,3,100,1000.0,66.93599999999999
val,1-4-7,3,1000,10000.0,78.164
val,1-4-7,3,10000,10000.0,79.163
val,1-4-7,3,1500,10000.0,78.592
val,1-4-7,3,20,1.0,49.857
val,1-4-7,3,200,100.0,73.644
val,1-4-7,3,2000,10000.0,78.497
val,1-4-7,3,300,100.0,74.833
val,1-4-7,3,3000,10000.0,78.877
val,1-4-7,3,400,1000.0,75.928
val,1-4-7,3,4000,10000.0,78.592
val,1-4-7,3,50,10.0,62.083999999999996
val,1-4-7,3,500,10000.0,76.261
val,1-4-7,3,5000,10000.0,78.592
val,1-4-7,3,600,10000.0,76.356
val,1-4-7,3,700,10000.0,76.927
val,1-4-7,3,800,10000.0,77.069
val,1-4-7,3,900,10000.0,77.498
val,1-4,2,10,0.1,37.345
val,1-4,2,100,1000.0,64.034
val,1-4,2,1000,10000.0,73.54899999999999
val,1-4,2,10000,10000.0,74.405
val,1-4,2,1500,10000.0,73.264
val,1-4,2,20,1000.0,47.431
val,1-4,2,200,1000.0,69.88600000000001
val,1-4,2,2000,10000.0,74.072
val,1-4,2,300,10000.0,71.075
val,1-4,2,3000,10000.0,73.977
val,1-4,2,400,1000.0,72.217
val,1-4,2,4000,10000.0,74.358
val,1-4,2,50,10.0,58.373
val,1-4,2,500,1000.0,72.788
val,1-4,2,5000,10000.0,74.59599999999999
val,1-4,2,600,10000.0,73.21600000000001
val,1-4,2,700,10000.0,72.931
val,1-4,2,800,10000.0,73.264
val,1-4,2,900,10000.0,73.454
val,1-5-6,3,10,1e-06,37.821
val,1-5-6,3,100,1000.0,65.081
val,1-5-6,3,1000,10000.0,75.452
val,1-5-6,3,10000,10000.0,76.87899999999999
val,1-5-6,3,1500,10000.0,75.167
val,1-5-6,3,20,0.1,50.0
val,1-5-6,3,200,1000.0,71.503
val,1-5-6,3,2000,10000.0,75.97500000000001
val,1-5-6,3,300,100.0,73.454
val,1-5-6,3,3000,10000.0,75.642
val,1-5-6,3,400,1000.0,74.643
val,1-5-6,3,4000,10000.0,75.737
val,1-5-6,3,50,100.0,60.657000000000004
val,1-5-6,3,500,1000.0,74.358
val,1-5-6,3,5000,10000.0,76.213
val,1-5-6,3,600,10000.0,74.263
val,1-5-6,3,700,10000.0,74.929
val,1-5-6,3,800,10000.0,74.691
val,1-5-6,3,900,10000.0,75.071
val,1-5-7,3,10,1.0,37.821
val,1-5-7,3,100,100.0,67.364
val,1-5-7,3,1000,10000.0,78.069
val,1-5-7,3,10000,10000.0,78.83
val,1-5-7,3,1500,10000.0,78.354
val,1-5-7,3,20,100.0,50.951
val,1-5-7,3,200,100.0,74.11999999999999
val,1-5-7,3,2000,10000.0,78.63900000000001
val,1-5-7,3,300,100.0,76.166
val,1-5-7,3,3000,10000.0,79.02
val,1-5-7,3,400,100.0,77.16499999999999
val,1-5-7,3,4000,10000.0,78.83
val,1-5-7,3,50,10.0,62.702000000000005
val,1-5-7,3,500,1000.0,77.402
val,1-5-7,3,5000,10000.0,79.11500000000001
val,1-5-7,3,600,10000.0,76.832
val,1-5-7,3,700,10000.0,77.45
val,1-5-7,3,800,10000.0,78.021
val,1-5-7,3,900,10000.0,77.45
val,1-5,2,10,100.0,37.774
val,1-5,2,100,1e-06,64.986
val,1-5,2,1000,10000.0,74.358
val,1-5,2,10000,10000.0,76.594
val,1-5,2,1500,10000.0,74.976
val,1-5,2,20,1e-06,49.714999999999996
val,1-5,2,200,100.0,71.408
val,1-5,2,2000,10000.0,75.452
val,1-5,2,300,100.0,72.693
val,1-5,2,3000,10000.0,75.88000000000001
val,1-5,2,400,100.0,74.02499999999999
val,1-5,2,4000,10000.0,75.928
val,1-5,2,50,10.0,59.8
val,1-5,2,500,1000.0,74.31
val,1-5,2,5000,10000.0,76.166
val,1-5,2,600,1000.0,74.691
val,1-5,2,700,10000.0,74.643
val,1-5,2,800,10000.0,74.881
val,1-5,2,900,10000.0,74.358
val,1-6-7,3,10,1.0,38.107
val,1-6-7,3,100,100.0,67.174
val,1-6-7,3,1000,10000.0,77.402
val,1-6-7,3,10000,10000.0,79.163
val,1-6-7,3,1500,10000.0,77.545
val,1-6-7,3,20,1.0,50.617999999999995
val,1-6-7,3,200,10.0,73.739
val,1-6-7,3,2000,10000.0,78.354
val,1-6-7,3,300,100.0,74.976
val,1-6-7,3,3000,10000.0,78.63900000000001
val,1-6-7,3,400,1000.0,75.97500000000001
val,1-6-7,3,4000,10000.0,78.449
val,1-6-7,3,50,0.1,62.178999999999995
val,1-6-7,3,500,1000.0,76.641
val,1-6-7,3,5000,10000.0,78.63900000000001
val,1-6-7,3,600,10000.0,76.736
val,1-6-7,3,700,10000.0,77.35499999999999
val,1-6-7,3,800,10000.0,77.212
val,1-6-7,3,900,10000.0,77.16499999999999
val,1-6,2,10,1e-06,37.774
val,1-6,2,100,10.0,64.891
val,1-6,2,1000,10000.0,74.786
val,1-6,2,10000,10000.0,76.30799999999999
val,1-6,2,1500,10000.0,74.59599999999999
val,1-6,2,20,1e-06,49.429
val,1-6,2,200,1000.0,70.742
val,1-6,2,2000,10000.0,74.929
val,1-6,2,300,1000.0,72.64500000000001
val,1-6,2,3000,10000.0,74.691
val,1-6,2,400,1000.0,73.501
val,1-6,2,4000,10000.0,75.737
val,1-6,2,50,100.0,59.562000000000005
val,1-6,2,500,1000.0,74.215
val,1-6,2,5000,10000.0,75.833
val,1-6,2,600,10000.0,74.02499999999999
val,1-6,2,700,10000.0,74.11999999999999
val,1-6,2,800,10000.0,74.02499999999999
val,1-6,2,900,10000.0,74.5
val,1-7,2,10,1e-06,37.964
val,1-7,2,100,1000.0,66.984
val,1-7,2,1000,10000.0,77.878
val,1-7,2,10000,10000.0,79.11500000000001
val,1-7,2,1500,10000.0,78.497
val,1-7,2,20,1e-06,49.952000000000005
val,1-7,2,200,100.0,73.359
val,1-7,2,2000,10000.0,78.402
val,1-7,2,300,100.0,75.167
val,1-7,2,3000,10000.0,78.83
val,1-7,2,400,1000.0,76.166
val,1-7,2,4000,10000.0,78.83
val,1-7,2,50,0.1,62.178999999999995
val,1-7,2,500,1000.0,76.927
val,1-7,2,5000,10000.0,78.63900000000001
val,1-7,2,600,10000.0,76.832
val,1-7,2,700,10000.0,77.022
val,1-7,2,800,10000.0,76.927
val,1-7,2,900,10000.0,77.402
val,2-3-4,3,10,1e-06,38.249
val,2-3-4,3,100,100.0,64.36699999999999
val,2-3-4,3,1000,10000.0,73.59700000000001
val,2-3-4,3,10000,10000.0,74.691
val,2-3-4,3,1500,10000.0,74.072
val,2-3-4,3,20,1.0,47.574
val,2-3-4,3,200,1000.0,69.696
val,2-3-4,3,2000,10000.0,74.02499999999999
val,2-3-4,3,300,10000.0,71.503
val,2-3-4,3,3000,10000.0,74.167
val,2-3-4,3,400,10000.0,72.407
val,2-3-4,3,4000,10000.0,74.643
val,2-3-4,3,50,1000.0,58.467999999999996
val,2-3-4,3,500,10000.0,72.931
val,2-3-4,3,5000,10000.0,74.643
val,2-3-4,3,600,10000.0,73.12100000000001
val,2-3-4,3,700,10000.0,73.311
val,2-3-4,3,800,10000.0,73.59700000000001
val,2-3-4,3,900,10000.0,73.882
val,2-3-5,3,10,100.0,37.536
val,2-3-5,3,100,100.0,65.081
val,2-3-5,3,1000,10000.0,75.024
val,2-3-5,3,10000,10000.0,76.87899999999999
val,2-3-5,3,1500,10000.0,75.119
val,2-3-5,3,20,100.0,49.81
val,2-3-5,3,200,1000.0,71.123
val,2-3-5,3,2000,10000.0,75.595
val,2-3-5,3,300,1000.0,72.64500000000001
val,2-3-5,3,3000,10000.0,75.119
val,2-3-5,3,400,100.0,74.072
val,2-3-5,3,4000,10000.0,75.642
val,2-3-5,3,50,100.0,60.181
val,2-3-5,3,500,1000.0,74.31
val,2-3-5,3,5000,10000.0,76.166
val,2-3-5,3,600,10000.0,74.072
val,2-3-5,3,700,10000.0,74.976
val,2-3-5,3,800,10000.0,74.929
val,2-3-5,3,900,10000.0,74.881
val,2-3-6,3,10,1e-06,38.153999999999996
val,2-3-6,3,100,100.0,65.033
val,2-3-6,3,1000,10000.0,74.643
val,2-3-6,3,10000,10000.0,76.261
val,2-3-6,3,1500,10000.0,74.881
val,2-3-6,3,20,0.1,49.382
val,2-3-6,3,200,1000.0,71.265
val,2-3-6,3,2000,10000.0,75.357
val,2-3-6,3,300,1000.0,72.407
val,2-3-6,3,3000,10000.0,75.40400000000001
val,2-3-6,3,400,1000.0,73.311
val,2-3-6,3,4000,10000.0,75.97500000000001
val,2-3-6,3,50,100.0,59.848
val,2-3-6,3,500,1000.0,73.92999999999999
val,2-3-6,3,5000,10000.0,76.166
val,2-3-6,3,600,10000.0,73.739
val,2-3-6,3,700,10000.0,74.548
val,2-3-6,3,800,10000.0,74.643
val,2-3-6,3,900,10000.0,74.738
val,2-3-7,3,10,1e-06,38.249
val,2-3-7,3,100,1000.0,66.984
val,2-3-7,3,1000,10000.0,77.688
val,2-3-7,3,10000,10000.0,79.258
val,2-3-7,3,1500,10000.0,77.735
val,2-3-7,3,20,0.01,50.0
val,2-3-7,3,200,100.0,73.359
val,2-3-7,3,2000,10000.0,78.069
val,2-3-7,3,300,100.0,74.5
val,2-3-7,3,3000,10000.0,79.02
val,2-3-7,3,400,100.0,75.737
val,2-3-7,3,4000,10000.0,78.925
val,2-3-7,3,50,100.0,61.702999999999996
val,2-3-7,3,500,1000.0,76.356
val,2-3-7,3,5000,10000.0,78.925
val,2-3-7,3,600,10000.0,76.499
val,2-3-7,3,700,10000.0,76.974
val,2-3-7,3,800,10000.0,77.402
val,2-3-7,3,900,10000.0,77.735
val,2-3,2,10,0.01,37.297999999999995
val,2-3,2,100,100.0,64.17699999999999
val,2-3,2,1000,10000.0,73.073
val,2-3,2,10000,10000.0,74.5
val,2-3,2,1500,10000.0,73.644
val,2-3,2,20,1000.0,47.336
val,2-3,2,200,1000.0,69.267
val,2-3,2,2000,10000.0,73.54899999999999
val,2-3,2,300,1000.0,71.313
val,2-3,2,3000,10000.0,73.739
val,2-3,2,400,10000.0,71.931
val,2-3,2,4000,10000.0,74.072
val,2-3,2,50,100.0,58.18299999999999
val,2-3,2,500,10000.0,72.693
val,2-3,2,5000,10000.0,74.31
val,2-3,2,600,10000.0,73.21600000000001
val,2-3,2,700,10000.0,73.406
val,2-3,2,800,10000.0,73.359
val,2-3,2,900,10000.0,73.311
val,2-4-5,3,10,100.0,37.583
val,2-4-5,3,100,1.0,64.32
val,2-4-5,3,1000,10000.0,74.929
val,2-4-5,3,10000,10000.0,76.30799999999999
val,2-4-5,3,1500,10000.0,74.976
val,2-4-5,3,20,10.0,49.81
val,2-4-5,3,200,100.0,71.123
val,2-4-5,3,2000,10000.0,75.642
val,2-4-5,3,300,1000.0,72.978
val,2-4-5,3,3000,10000.0,74.929
val,2-4-5,3,400,1000.0,73.59700000000001
val,2-4-5,3,4000,10000.0,75.40400000000001
val,2-4-5,3,50,10.0,60.228
val,2-4-5,3,500,1000.0,73.977
val,2-4-5,3,5000,10000.0,75.928
val,2-4-5,3,600,10000.0,73.644
val,2-4-5,3,700,10000.0,74.929
val,2-4-5,3,800,10000.0,74.929
val,2-4-5,3,900,10000.0,74.643
val,2-4-6,3,10,1e-06,38.82
val,2-4-6,3,100,0.001,64.225
val,2-4-6,3,1000,10000.0,74.02499999999999
val,2-4-6,3,10000,10000.0,76.261
val,2-4-6,3,1500,10000.0,74.881
val,2-4-6,3,20,10.0,49.477
val,2-4-6,3,200,1000.0,71.218
val,2-4-6,3,2000,10000.0,75.357
val,2-4-6,3,300,1000.0,71.931
val,2-4-6,3,3000,10000.0,75.357
val,2-4-6,3,400,1000.0,72.883
val,2-4-6,3,4000,10000.0,75.833
val,2-4-6,3,50,10.0,60.419
val,2-4-6,3,500,1000.0,73.168
val,2-4-6,3,5000,10000.0,76.023
val,2-4-6,3,600,10000.0,73.977
val,2-4-6,3,700,10000.0,74.215
val,2-4-6,3,800,10000.0,74.548
val,2-4-6,3,900,10000.0,74.405
val,2-4-7,3,10,1e-06,38.535000000000004
val,2-4-7,3,100,10.0,66.556
val,2-4-7,3,1000,10000.0,77.783
val,2-4-7,3,10000,10000.0,79.163
val,2-4-7,3,1500,10000.0,77.973
val,2-4-7,3,20,1.0,50.0
val,2-4-7,3,200,100.0,73.311
val,2-4-7,3,2000,10000.0,78.497
val,2-4-7,3,300,100.0,74.929
val,2-4-7,3,3000,10000.0,78.925
val,2-4-7,3,400,100.0,75.262
val,2-4-7,3,4000,10000.0,79.163
val,2-4-7,3,50,10.0,62.083999999999996
val,2-4-7,3,500,10000.0,76.261
val,2-4-7,3,5000,10000.0,79.02
val,2-4-7,3,600,10000.0,76.30799999999999
val,2-4-7,3,700,10000.0,77.022
val,2-4-7,3,800,10000.0,77.307
val,2-4-7,3,900,10000.0,77.25999999999999
val,2-4,2,10,1e-06,37.774
val,2-4,2,100,1000.0,63.510999999999996
val,2-4,2,1000,10000.0,73.54899999999999
val,2-4,2,10000,10000.0,74.11999999999999
val,2-4,2,1500,10000.0,73.311
val,2-4,2,20,100.0,47.431
val,2-4,2,200,100.0,69.172
val,2-4,2,2000,10000.0,73.454
val,2-4,2,300,10000.0,71.028
val,2-4,2,3000,10000.0,73.501
val,2-4,2,400,10000.0,72.265
val,2-4,2,4000,10000.0,73.739
val,2-4,2,50,1e-06,58.325
val,2-4,2,500,10000.0,72.693
val,2-4,2,5000,10000.0,74.11999999999999
val,2-4,2,600,10000.0,72.455
val,2-4,2,700,10000.0,73.21600000000001
val,2-4,2,800,10000.0,73.311
val,2-4,2,900,10000.0,73.501
val,2-5-6,3,10,1e-06,37.916
val,2-5-6,3,100,100.0,64.36699999999999
val,2-5-6,3,1000,10000.0,75.024
val,2-5-6,3,10000,10000.0,76.736
val,2-5-6,3,1500,10000.0,75.357
val,2-5-6,3,20,10.0,49.81
val,2-5-6,3,200,1000.0,71.265
val,2-5-6,3,2000,10000.0,76.118
val,2-5-6,3,300,10.0,73.12100000000001
val,2-5-6,3,3000,10000.0,75.5
val,2-5-6,3,400,1000.0,73.644
val,2-5-6,3,4000,10000.0,75.5
val,2-5-6,3,50,1.0,60.79900000000001
val,2-5-6,3,500,1000.0,74.31
val,2-5-6,3,5000,10000.0,76.166
val,2-5-6,3,600,10000.0,74.405
val,2-5-6,3,700,10000.0,75.071
val,2-5-6,3,800,10000.0,75.024
val,2-5-6,3,900,10000.0,74.738
val,2-5-7,3,10,1e-06,37.678
val,2-5-7,3,100,100.0,67.03099999999999
val,2-5-7,3,1000,10000.0,77.973
val,2-5-7,3,10000,10000.0,78.782
val,2-5-7,3,1500,10000.0,78.164
val,2-5-7,3,20,100.0,50.904
val,2-5-7,3,200,100.0,73.882
val,2-5-7,3,2000,10000.0,78.782
val,2-5-7,3,300,10.0,75.642
val,2-5-7,3,3000,10000.0,78.972
val,2-5-7,3,400,1000.0,76.45100000000001
val,2-5-7,3,4000,10000.0,78.877
val,2-5-7,3,50,10.0,62.94
val,2-5-7,3,500,1000.0,77.307
val,2-5-7,3,5000,10000.0,78.925
val,2-5-7,3,600,10000.0,76.927
val,2-5-7,3,700,10000.0,77.593
val,2-5-7,3,800,10000.0,77.926
val,2-5-7,3,900,10000.0,77.878
val,2-5,2,10,100.0,37.678
val,2-5,2,100,10.0,63.892
val,2-5,2,1000,10000.0,74.5
val,2-5,2,10000,10000.0,76.499
val,2-5,2,1500,10000.0,75.357
val,2-5,2,20,1.0,49.81
val,2-5,2,200,100.0,70.742
val,2-5,2,2000,10000.0,75.785
val,2-5,2,300,1000.0,72.83500000000001
val,2-5,2,3000,10000.0,75.357
val,2-5,2,400,100.0,73.54899999999999
val,2-5,2,4000,10000.0,75.309
val,2-5,2,50,1e-06,60.181
val,2-5,2,500,1000.0,74.167
val,2-5,2,5000,10000.0,75.785
val,2-5,2,600,1000.0,73.882
val,2-5,2,700,1000.0,74.31
val,2-5,2,800,10000.0,74.786
val,2-5,2,900,10000.0,74.167
val,2-6-7,3,10,0.01,38.249
val,2-6-7,3,100,10.0,66.69800000000001
val,2-6-7,3,1000,10000.0,77.25999999999999
val,2-6-7,3,10000,10000.0,79.06800000000001
val,2-6-7,3,1500,10000.0,77.498
val,2-6-7,3,20,10.0,50.476
val,2-6-7,3,200,10.0,73.977
val,2-6-7,3,2000,10000.0,78.354
val,2-6-7,3,300,100.0,75.119
val,2-6-7,3,3000,10000.0,78.63900000000001
val,2-6-7,3,400,1000.0,75.833
val,2-6-7,3,4000,10000.0,78.592
val,2-6-7,3,50,1.0,62.65500000000001
val,2-6-7,3,500,1000.0,76.213
val,2-6-7,3,5000,10000.0,78.354
val,2-6-7,3,600,10000.0,76.641
val,2-6-7,3,700,10000.0,77.35499999999999
val,2-6-7,3,800,10000.0,77.35499999999999
val,2-6-7,3,900,10000.0,77.307
val,2-6,2,10,1e-06,38.107
val,2-6,2,100,100.0,63.892
val,2-6,2,1000,10000.0,73.92999999999999
val,2-6,2,10000,10000.0,76.261
val,2-6,2,1500,10000.0,74.643
val,2-6,2,20,1.0,49.429
val,2-6,2,200,1000.0,71.028
val,2-6,2,2000,10000.0,75.452
val,2-6,2,300,10000.0,72.027
val,2-6,2,3000,10000.0,74.833
val,2-6,2,400,1000.0,72.74000000000001
val,2-6,2,4000,10000.0,75.69
val,2-6,2,50,1.0,60.609
val,2-6,2,500,1000.0,73.59700000000001
val,2-6,2,5000,10000.0,75.642
val,2-6,2,600,1000.0,73.834
val,2-6,2,700,10000.0,73.92999999999999
val,2-6,2,800,10000.0,74.5
val,2-6,2,900,10000.0,74.02499999999999
val,2-7,2,10,1e-06,37.964
val,2-7,2,100,10.0,66.69800000000001
val,2-7,2,1000,10000.0,77.402
val,2-7,2,10000,10000.0,78.782
val,2-7,2,1500,10000.0,78.211
val,2-7,2,20,1e-06,49.905
val,2-7,2,200,1000.0,72.74000000000001
val,2-7,2,2000,10000.0,78.63900000000001
val,2-7,2,300,100.0,75.071
val,2-7,2,3000,10000.0,79.06800000000001
val,2-7,2,400,1000.0,75.833
val,2-7,2,4000,10000.0,78.877
val,2-7,2,50,1.0,62.417
val,2-7,2,500,10000.0,76.356
val,2-7,2,5000,10000.0,78.877
val,2-7,2,600,10000.0,76.45100000000001
val,2-7,2,700,10000.0,76.974
val,2-7,2,800,10000.0,76.927
val,2-7,2,900,10000.0,77.022
val,3-4-5,3,10,1.0,37.393
val,3-4-5,3,100,10.0,65.461
val,3-4-5,3,1000,10000.0,75.214
val,3-4-5,3,10000,10000.0,76.213
val,3-4-5,3,1500,10000.0,74.786
val,3-4-5,3,20,100.0,50.143
val,3-4-5,3,200,10.0,71.741
val,3-4-5,3,2000,10000.0,75.119
val,3-4-5,3,300,10.0,72.978
val,3-4-5,3,3000,10000.0,74.929
val,3-4-5,3,400,1000.0,74.02499999999999
val,3-4-5,3,4000,10000.0,75.167
val,3-4-5,3,50,100.0,60.465999999999994
val,3-4-5,3,500,1000.0,74.31
val,3-4-5,3,5000,10000.0,75.785
val,3-4-5,3,600,1000.0,74.072
val,3-4-5,3,700,1000.0,75.024
val,3-4-5,3,800,10000.0,74.929
val,3-4-5,3,900,10000.0,74.833
val,3-4-6,3,10,1e-06,37.726
val,3-4-6,3,100,100.0,64.938
val,3-4-6,3,1000,10000.0,74.358
val,3-4-6,3,10000,10000.0,76.213
val,3-4-6,3,1500,10000.0,74.643
val,3-4-6,3,20,100.0,49.429
val,3-4-6,3,200,10.0,71.265
val,3-4-6,3,2000,10000.0,75.024
val,3-4-6,3,300,1000.0,72.455
val,3-4-6,3,3000,10000.0,75.262
val,3-4-6,3,400,1000.0,73.359
val,3-4-6,3,4000,10000.0,75.88000000000001
val,3-4-6,3,50,1.0,59.705
val,3-4-6,3,500,1000.0,73.644
val,3-4-6,3,5000,10000.0,76.023
val,3-4-6,3,600,10000.0,74.02499999999999
val,3-4-6,3,700,10000.0,74.358
val,3-4-6,3,800,10000.0,74.5
val,3-4-6,3,900,10000.0,74.5
val,3-4-7,3,10,1e-06,37.678
val,3-4-7,3,100,10.0,67.079
val,3-4-7,3,1000,10000.0,77.83099999999999
val,3-4-7,3,10000,10000.0,78.877
val,3-4-7,3,1500,10000.0,78.259
val,3-4-7,3,20,0.1,50.19
val,3-4-7,3,200,1.0,73.739
val,3-4-7,3,2000,10000.0,78.63900000000001
val,3-4-7,3,300,10.0,75.452
val,3-4-7,3,3000,10000.0,78.83
val,3-4-7,3,400,100.0,76.07000000000001
val,3-4-7,3,4000,10000.0,78.782
val,3-4-7,3,50,1.0,61.893
val,3-4-7,3,500,10000.0,76.45100000000001
val,3-4-7,3,5000,10000.0,78.782
val,3-4-7,3,600,10000.0,76.641
val,3-4-7,3,700,10000.0,77.022
val,3-4-7,3,800,10000.0,77.35499999999999
val,3-4-7,3,900,10000.0,77.45
val,3-4,2,10,0.1,37.869
val,3-4,2,100,10.0,64.653
val,3-4,2,1000,10000.0,73.54899999999999
val,3-4,2,10000,10000.0,74.31
val,3-4,2,1500,10000.0,73.739
val,3-4,2,20,100.0,47.715999999999994
val,3-4,2,200,1000.0,69.6
val,3-4,2,2000,10000.0,73.454
val,3-4,2,300,100.0,70.504
val,3-4,2,3000,10000.0,74.02499999999999
val,3-4,2,400,10000.0,72.217
val,3-4,2,4000,10000.0,74.167
val,3-4,2,50,10.0,58.516
val,3-4,2,500,1000.0,72.83500000000001
val,3-4,2,5000,10000.0,74.5
val,3-4,2,600,10000.0,72.693
val,3-4,2,700,10000.0,73.073
val,3-4,2,800,10000.0,73.168
val,3-4,2,900,10000.0,73.69200000000001
val,3-5-6,3,10,0.1,37.583
val,3-5-6,3,100,100.0,65.128
val,3-5-6,3,1000,10000.0,75.119
val,3-5-6,3,10000,10000.0,76.927
val,3-5-6,3,1500,10000.0,75.024
val,3-5-6,3,20,10.0,50.19
val,3-5-6,3,200,10.0,71.884
val,3-5-6,3,2000,10000.0,75.547
val,3-5-6,3,300,100.0,73.454
val,3-5-6,3,3000,10000.0,75.642
val,3-5-6,3,400,1000.0,74.786
val,3-5-6,3,4000,10000.0,75.452
val,3-5-6,3,50,10.0,60.419
val,3-5-6,3,500,1000.0,74.881
val,3-5-6,3,5000,10000.0,76.213
val,3-5-6,3,600,1000.0,74.215
val,3-5-6,3,700,10000.0,74.738
val,3-5-6,3,800,10000.0,75.071
val,3-5-6,3,900,10000.0,74.833
val,3-5-7,3,10,0.1,37.821
val,3-5-7,3,100,10.0,67.55499999999999
val,3-5-7,3,1000,10000.0,78.164
val,3-5-7,3,10000,10000.0,78.925
val,3-5-7,3,1500,10000.0,77.973
val,3-5-7,3,20,1.0,50.999
val,3-5-7,3,200,100.0,74.786
val,3-5-7,3,2000,10000.0,78.402
val,3-5-7,3,300,10.0,76.118
val,3-5-7,3,3000,10000.0,79.02
val,3-5-7,3,400,1000.0,76.546
val,3-5-7,3,4000,10000.0,79.02
val,3-5-7,3,50,10.0,62.369
val,3-5-7,3,500,1000.0,77.45
val,3-5-7,3,5000,10000.0,79.02
val,3-5-7,3,600,10000.0,76.689
val,3-5-7,3,700,10000.0,77.735
val,3-5-7,3,800,10000.0,78.021
val,3-5-7,3,900,10000.0,77.783
val,3-5,2,10,100.0,37.393
val,3-5,2,100,1.0,65.176
val,3-5,2,1000,10000.0,74.833
val,3-5,2,10000,10000.0,76.499
val,3-5,2,1500,10000.0,75.071
val,3-5,2,20,1.0,49.952000000000005
val,3-5,2,200,100.0,71.456
val,3-5,2,2000,10000.0,75.642
val,3-5,2,300,100.0,72.74000000000001
val,3-5,2,3000,10000.0,75.5
val,3-5,2,400,100.0,74.072
val,3-5,2,4000,10000.0,75.642
val,3-5,2,50,100.0,59.753
val,3-5,2,500,1000.0,74.929
val,3-5,2,5000,10000.0,76.023
val,3-5,2,600,1000.0,74.263
val,3-5,2,700,1000.0,74.59599999999999
val,3-5,2,800,10000.0,74.881
val,3-5,2,900,10000.0,74.786
val,3-6-7,3,10,0.01,38.440000000000005
val,3-6-7,3,100,10.0,66.984
val,3-6-7,3,1000,10000.0,77.45
val,3-6-7,3,10000,10000.0,78.925
val,3-6-7,3,1500,10000.0,77.45
val,3-6-7,3,20,10.0,50.617999999999995
val,3-6-7,3,200,100.0,73.739
val,3-6-7,3,2000,10000.0,78.116
val,3-6-7,3,300,10.0,75.547
val,3-6-7,3,3000,10000.0,78.877
val,3-6-7,3,400,1000.0,75.642
val,3-6-7,3,4000,10000.0,78.782
val,3-6-7,3,50,100.0,61.465
val,3-6-7,3,500,1000.0,76.594
val,3-6-7,3,5000,10000.0,78.497
val,3-6-7,3,600,10000.0,76.641
val,3-6-7,3,700,10000.0,77.45
val,3-6-7,3,800,10000.0,77.022
val,3-6-7,3,900,10000.0,77.307
val,3-6,2,10,1e-06,37.821
val,3-6,2,100,10.0,65.176
val,3-6,2,1000,10000.0,74.358
val,3-6,2,10000,10000.0,76.166
val,3-6,2,1500,10000.0,74.5
val,3-6,2,20,0.001,49.382
val,3-6,2,200,100.0,71.36099999999999
val,3-6,2,2000,10000.0,74.786
val,3-6,2,300,100.0,72.502
val,3-6,2,3000,10000.0,74.738
val,3-6,2,400,1000.0,73.311
val,3-6,2,4000,10000.0,75.452
val,3-6,2,50,100.0,59.324
val,3-6,2,500,1000.0,73.69200000000001
val,3-6,2,5000,10000.0,75.97500000000001
val,3-6,2,600,1000.0,74.167
val,3-6,2,700,10000.0,74.11999999999999
val,3-6,2,800,10000.0,74.358
val,3-6,2,900,10000.0,74.31
val,3-7,2,10,1.0,37.393
val,3-7,2,100,1.0,66.93599999999999
val,3-7,2,1000,10000.0,77.735
val,3-7,2,10000,10000.0,79.06800000000001
val,3-7,2,1500,10000.0,78.211
val,3-7,2,20,1e-06,50.381
val,3-7,2,200,10.0,73.834
val,3-7,2,2000,10000.0,78.592
val,3-7,2,300,10.0,75.167
val,3-7,2,3000,10000.0,78.735
val,3-7,2,400,100.0,75.928
val,3-7,2,4000,10000.0,78.782
val,3-7,2,50,10.0,61.797999999999995
val,3-7,2,500,1000.0,76.641
val,3-7,2,5000,10000.0,79.02
val,3-7,2,600,1000.0,76.736
val,3-7,2,700,10000.0,77.16499999999999
val,3-7,2,800,10000.0,77.25999999999999
val,3-7,2,900,10000.0,77.25999999999999
val,4-5-6,3,10,10.0,36.346000000000004
val,4-5-6,3,100,10.0,64.653
val,4-5-6,3,1000,10000.0,75.214
