number,value,datetime_start,datetime_complete,duration,params_a_0,params_a_1,params_a_2,params_a_3,params_a_4,params_a_5,params_a_6,params_a_7,params_f_0,params_f_1,params_f_2,params_f_3,params_f_4,params_f_5,params_f_6,params_f_7,params_high_0,params_high_1,params_high_2,params_high_3,params_high_4,params_high_5,params_high_6,params_high_7,params_low_0,params_low_1,params_low_2,params_low_3,params_low_4,params_low_5,params_low_6,params_low_7,params_u_dc_0,params_u_dc_1,params_u_dc_2,params_u_dc_3,params_u_dc_4,params_u_dc_5,params_u_dc_6,params_u_dc_7,state
181,0.48430066603235017,2025-11-13 18:24:04.239957,2025-11-13 19:24:03.398521,0 days 00:59:59.158564,-2.5383155180070904,2.6241892128400086,-2.313744309746358,1.6352544291813402,-0.8027636023445277,2.2853547664681537,3.5923371336296546,-1.4433265607704984,2474.7033158912395,4370.019920645424,5950.120438744719,7224.386882762076,8797.259367121549,10275.436479596343,13077.671464680383,15323.177903601618,2706,4923,6305,7663,9524,11103,13375,16289,10,2322,3982,5789,7520,9590,11958,13650,0.013188615069959697,0.176094161844624,0.7099673442142868,0.3891689831678156,0.551209602885525,0.14430451312550965,0.7140170171162972,0.20650564589691653,COMPLETE
182,0.4291151284490961,2025-11-13 19:24:03.803542,2025-11-13 20:24:34.859593,0 days 01:00:31.056051,-2.959742345299776,2.625905368990541,-1.224481337855401,1.800028774563614,3.2311823262491,1.9583246004889696,2.2385386920734005,-3.5969699421437404,2459.7886716102826,4298.525534709893,5856.215890143238,7301.843556451165,8733.89561531015,10344.964812566788,13087.571918343609,15449.388389739495,2684,4923,6201,7689,9546,11110,13439,16319,1,2352,3997,5822,7515,9615,11533,13713,0.4706901146448805,0.2074870200547454,0.7431831421073142,0.2722921759814888,0.6669833008943791,0.14970996143463958,0.773635810520625,0.2411560728781097,COMPLETE
183,0.7949571836346336,2025-11-13 20:24:35.222346,2025-11-13 21:25:14.430883,0 days 01:00:39.208537,-0.9013931735188565,2.9131553134080224,0.11942026379454085,1.4243573197957118,0.3009553782318939,1.4403050951426766,2.4305114825518106,-3.4125287304480723,2386.4468038196705,4429.682853434318,5760.849357532372,7182.928172627876,8633.005367295831,10442.098094908186,13186.333280740855,15301.430300238626,2674,4886,6510,7655,9495,11149,12985,16343,0,2307,3971,5880,7557,9521,11445,13622,0.011034218865699398,0.14256492040728042,0.6816694164563595,0.3755435637865926,0.580695121630044,0.21064306793913368,0.7359602522130513,0.26194831631182697,COMPLETE
184,0.4866793529971456,2025-11-13 21:25:14.896384,2025-11-13 22:25:56.710918,0 days 01:00:41.814534,-0.8306127535038176,2.8295106345082344,0.2730180183606671,1.4074784357270844,-1.3853835468303788,1.3596976561489253,-3.0699282756673947,-3.3973126482729152,2385.8282369636945,3903.0730345219513,5916.500818029546,7176.916536958418,8603.263068001796,10440.152714177908,13182.360521740799,15277.15844806363,2609,4883,6573,7656,9466,11157,12976,16346,22,2304,3976,5877,7566,9517,11421,13671,0.042614854839112565,0.12587077980628242,0.676799349326542,0.35696020803782774,0.5714181139937528,0.21520601304761527,0.747545744056922,0.27224406065155127,COMPLETE
185,0.7930542340627973,2025-11-13 22:25:57.323773,2025-11-13 23:26:17.376797,0 days 01:00:20.053024,-0.46529098008661274,3.1962844023541286,0.026094845570146574,0.6396582920568199,0.18452272728993585,1.487850795381179,2.484861983775818,-3.1054924339708543,2337.1689281276604,4455.771193635676,5819.82612493296,7351.5218807821775,8670.966264877812,10515.901175345321,13300.18025598288,15504.734456246262,2663,4839,6541,7638,9495,11174,12991,15843,14,2247,4038,5852,7544,9558,11383,13597,0.03274834101846684,0.13763166145288966,0.8481090615940943,0.4065845623352393,0.584266047851604,0.2618713302570071,0.9582391621234628,0.3271926670250165,COMPLETE
186,0.6612749762131304,2025-11-13 23:26:17.637365,2025-11-14 00:26:14.072337,0 days 00:59:56.434972,-0.34059725582969513,3.459502862846362,0.030976304440658714,1.0754151989079983,0.4498673089355562,1.5688586998226812,2.390725010758741,1.5893972571140274,2335.4080827193893,3967.2676061590123,5740.569208744902,7365.034768550694,8621.255405516808,10527.252755844738,13279.403525315003,15526.787229620237,2670,4804,6505,7859,9498,11183,12990,15839,354,2719,4050,5844,7655,9520,11435,13544,0.07021719367550645,0.10555491238582906,0.8385056361674444,0.4051865916569157,0.589117491700113,0.268951477036311,0.9695299709989885,0.3334660536070565,COMPLETE
187,0.7940057088487155,2025-11-14 00:26:14.315953,2025-11-14 01:25:59.772103,0 days 00:59:45.456150,-0.170018673973379,3.0986450646985353,0.44619505859221165,0.5639863803795524,0.14011354913209026,1.7909722848148795,-3.2427388008457685,-3.066892709484884,2271.9692932969074,4450.002979541437,5696.532898818713,7331.908578734709,9004.463701649647,10495.12576979718,13406.6778057524,15676.136511470213,2635,4841,6514,7713,9486,11198,12931,15861,0,2237,3945,5899,7601,9560,11450,13578,0.04003221118747287,0.14562932334868223,0.8252566106174943,0.5053661190595341,0.606766447720952,0.30629046286103206,0.9581080230367711,0.62830970823279,COMPLETE
188,0.796384395813511,2025-11-14 01:26:00.139533,2025-11-14 02:25:54.125087,0 days 00:59:53.985554,-0.15653030049194616,3.439163377154258,0.9041275641467346,0.6928769530945186,0.32619871549114127,2.040603890592918,2.5037713068842287,-3.135747991673096,2415.0499146771,4450.607221166769,5688.709903389075,7423.106498404866,9073.98151720566,10579.75708125651,13387.959598130694,15775.880328428671,2635,4841,6555,7693,9486,11203,12931,15849,0,2234,3960,5930,7605,9552,11382,13576,0.04938388775209339,0.1471992215050733,0.8770479242467649,0.44195501733519926,0.615571146034081,0.27442286327048276,0.9471220167531347,0.6927387413025793,COMPLETE
189,0.7916270218839201,2025-11-14 02:25:54.522212,2025-11-14 03:26:02.187314,0 days 01:00:07.665102,-0.21399163282983466,3.8829382327940807,0.7436572528958981,0.5659350451929445,0.23189680607594707,2.054642349223492,1.9054712690553672,-3.163605221395781,2243.845367684824,4464.152978763522,5669.124365042664,7434.742201879227,9082.100440451679,10593.140148522554,13386.632947822778,15749.417232682717,2637,4837,6549,7734,9478,11210,12930,15854,10,2205,3950,5926,7598,9568,11460,13580,0.04975399103156854,0.14481621625755195,0.8191847051675709,0.5030356716947866,0.6189716732451254,0.3154971954903167,0.9075977379558816,0.2625821965599706,COMPLETE
190,0.4495718363463368,2025-11-14 03:26:02.494648,2025-11-14 04:25:42.527734,0 days 00:59:40.033086,-0.13445069090399697,3.693652567600288,0.9023244466287869,0.4798548407298939,0.24103328173046634,2.0419793290429675,2.0095824534153413,-3.152034178938287,2210.4030428563215,4492.80933871754,5682.78494600872,7440.000825669091,9088.96021626789,10586.290563779046,13344.587480823708,15771.33898213516,2642,4839,6613,7735,9479,11205,12931,15854,17,2210,3972,5931,7605,9494,11462,13519,0.5583594257243611,0.14673675876777442,0.8858718553853134,0.5013259804019728,0.6233261651040034,0.3603604356900288,0.9414395874642061,0.6270354766528263,COMPLETE
